epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8735,0.50555,1.97922,0.86726,0.96067,1,0.995,0.94419,0.33894,2.20162,0.68814,0.00024,0.00024,0.00024
2,102.921,0.38991,0.91438,0.8447,0.97737,1,0.995,0.8955,0.30959,2.10818,0.69401,0.0004901,0.0004901,0.0004901
3,151.233,0.33671,0.85644,0.83388,0.98284,1,0.995,0.995,0.3555,1.90552,0.70597,0.000729904,0.000729904,0.000729904
4,203.316,0.35113,0.8169,0.83185,0.99467,1,0.995,0.995,0.30487,1.80501,0.70249,0.000959412,0.000959412,0.000959412
5,261.92,0.33764,0.76446,0.83603,0.99206,1,0.995,0.995,0.31367,1.53578,0.68569,0.00117862,0.00117862,0.00117862
